-- run 1 events --
class               start      dur     rest
  1 (FalVisWord)   518.00     4.00     4.00
  2 (AudWord)      526.00     4.00     6.00
  0 (VisWord)      536.00     4.00     4.00
  0 (VisWord)      544.00     4.00    12.00
  0 (VisWord)      560.00     4.00     8.00
  2 (AudWord)      572.00     4.00     8.00
  1 (FalVisWord)   584.00     4.00     4.00
  1 (FalVisWord)   592.00     4.00     8.00
  3 (FalAudWord)   604.00     4.00     6.00
  3 (FalAudWord)   614.00     4.00     4.00
  1 (FalVisWord)   622.00     4.00     4.00
  1 (FalVisWord)   630.00     4.00     4.00
  2 (AudWord)      638.00     4.00     0.00

